,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
0,chidambara09,Be happy  Be healthy Be smile Be cool Be good human,Mysore  and  BERLIN,14,7751,1201584,1,"#FoxNews #president, hosts reportedly exposed the #coronavirus  https://t.co/vEDtLnMeLr

#bigdata 
#AI #IoT #Tech #Data #USA #Linux #UK #javaScript #FinTech #dataScience #dataScientist #WomenWhoCode #Rstats #FemTech #100daysOfCode #FRENCHtech #France #digitalTransformation 
#WEb","['FoxNews', 'president', 'coronavirus', 'bigdata', 'AI', 'IoT', 'Tech', 'Data']"
1,techbot_01,Just a bot created to help developers written in #Python by @akm_nitrkl,,7,17,1182,22,"Full Stack..
#reactjs #React #javascript #100DaysOfCode #CodeNewbie #CodeNewbies  #programming #DEVCommunity #Developer #Python3  #DeveloperStudentClubs #100DaysOfMLCode #Python #Nodejs #Serverless #womenwhocode #cybersecurity #java https://t.co/pmyAdR4Dra","['reactjs', 'React', 'javascript', '100DaysOfCode', 'CodeNewbie', 'CodeNewbies', 'programming', 'DEVCommunity']"
2,nlognbot,"Hi, I'm a bot that retweets #100daysofcode     
                 
P.S. I was created by @NlognHQ follow them.",Server,3,4442,365473,5,"Day (34/100)* of Dart programming

Program: To declare the temperature according the degree celsius.

#100dayschallenge #dart #day34 #codinglife #programmers #100daysofcode #programming #algorithms #engineering #datastructures #softwareengineer #flutterdev #thetechgirlgita https://t.co/namfVB3FRy",[]
3,Women_who_code,24 🧬 ~ Javascript ❤️ ~ Mern Stack Developer ~ Next JS 🦄 ~ @nytimes ~ Books 📚 + coffee ☕,bootcamp,25,809,104682,5,"Day (34/100)* of Dart programming

Program: To declare the temperature according the degree celsius.

#100dayschallenge #dart #day34 #codinglife #programmers #100daysofcode #programming #algorithms #engineering #datastructures #softwareengineer #flutterdev #thetechgirlgita https://t.co/namfVB3FRy",[]
4,chidambara09,Be happy  Be healthy Be smile Be cool Be good human,Mysore  and  BERLIN,14,7751,1201584,1,"#FoxNews #president, hosts reportedly exposed the #coronavirus  https://t.co/vEDtLnMeLr

#bigdata 
#AI #IoT #Tech #Data #USA #Linux #UK #javaScript #FinTech #dataScience #dataScientist #WomenWhoCode #Rstats #FemTech #100daysOfCode #FRENCHtech #France #digitalTransformation 
#WEb","['FoxNews', 'president', 'coronavirus', 'bigdata', 'AI', 'IoT', 'Tech', 'Data', 'USA', 'Linux', 'UK', 'javaScript', 'FinTech', 'dataScience', 'dataScientist', 'WomenWhoCode', 'Rstats', 'FemTech', '100daysOfCode', 'FRENCHtech', 'France', 'digitalTransformation', 'WEb']"
5,techbot_01,Just a bot created to help developers written in #Python by @akm_nitrkl,,7,17,1182,3,"Day (34/100)* of Dart programming

Program: To declare the temperature according the degree celsius.

#100dayschallenge #dart #day34 #codinglife #programmers #100daysofcode #programming #algorithms #engineering #datastructures #softwareengineer #flutterdev #thetechgirlgita https://t.co/namfVB3FRy",[]
6,CoderNotesBot,"RT bot for #60DaysOfUdacity #30Days30Sites #100DaysOfCode #301DaysOfCode
Written in #nodejs using #twit. By @shahidcodes",codeanywhere.com,63,7407,683185,10,"Understanding TypeScript - 2020 Edition Courses -&gt; https://t.co/YjWgrcYY8F

#100DaysOfCode #webdevelopment #javascript #PHP  #Angular #bootstrap #React #vuejs #Laravel #NodeJs #html #CSS #WordPress #Redux #Django #Python #Vuex #udemy #udemycoupon #udemyfree","['100DaysOfCode', 'webdevelopment', 'javascript']"
7,Women_who_code,24 🧬 ~ Javascript ❤️ ~ Mern Stack Developer ~ Next JS 🦄 ~ @nytimes ~ Books 📚 + coffee ☕,bootcamp,25,809,104682,7,"My 31st day of #100DaysOfCode Challenge...
#Day31

Its been a month since I started my #100DaysOfCode challenge. Thanks to @Bjoysijo for suggesting the challenge

- Learning something more from the basics of Node.js
- Intro to Express, Express Generator &amp; Handlebars

:D","['100DaysOfCode', 'Day31', '100DaysOfCode']"
8,nlognbot,"Hi, I'm a bot that retweets #100daysofcode     
                 
P.S. I was created by @NlognHQ follow them.",Server,3,4442,365473,7,"My 31st day of #100DaysOfCode Challenge...
#Day31

Its been a month since I started my #100DaysOfCode challenge. Thanks to @Bjoysijo for suggesting the challenge

- Learning something more from the basics of Node.js
- Intro to Express, Express Generator &amp; Handlebars

:D","['100DaysOfCode', 'Day31', '100DaysOfCode']"
9,techbot_01,Just a bot created to help developers written in #Python by @akm_nitrkl,,7,17,1182,7,"My 31st day of #100DaysOfCode Challenge...
#Day31

Its been a month since I started my #100DaysOfCode challenge. Thanks to @Bjoysijo for suggesting the challenge

- Learning something more from the basics of Node.js
- Intro to Express, Express Generator &amp; Handlebars

:D","['100DaysOfCode', 'Day31', '100DaysOfCode']"
10,CodeGnuts,Just a bot helping coders show their progress. Automation built in #NodeJs by @AdamSpiceOnline. #100DaysOfCode,,0,2858,424058,7,wait groups and go routines with Golang 🤯  #100DaysOfCode #golang https://t.co/tH0q4uzxsa,"['100DaysOfCode', 'golang']"
11,coder_487,A bot helping coders and designers by showcasing their creation and progress.,,0,297,38941,6,"$ITOX an unknown #startup with $1 potential at 1 cent?💸📈✈ https://t.co/nmWlu1Q0zK

#IoT #IIoT #RStats #JavaScript #ReactJS #GoLang #CloudComputing #Serverless #technology #Programming #Coding #100DaysofCode #cybersecurity #selfdrivingcars #DigitalTransformation #DevOps #webdev","['startup', 'IoT', 'IIoT', 'RStats', 'JavaScript', 'ReactJS']"
12,techbot_01,Just a bot created to help developers written in #Python by @akm_nitrkl,,7,17,1182,6,I have found the answer to all the debugging problems from my lab this morning. Is it making sure paths are correct and versions are up to date? No. Its Babs. #WomenWhoCode #reactJS #100DaysOfCode #CodeNewbie https://t.co/DDkN85GaxN,[]
13,coder_487,A bot helping coders and designers by showcasing their creation and progress.,,0,297,38941,12,"Day 8/100

Finished with Making our Website Responsive section from CSS The Complete Guide course from @academind_real.

#100DaysOfCode #100DaysOfX #CodeNewbie #freeCodeCamp #javascript #learning #webdeveloper #CodeHabit365 #HTML #CSS",[]
14,coder_487,A bot helping coders and designers by showcasing their creation and progress.,,0,297,38941,3,"In our next #Kubernetes session Michael will be taking us through monitoring!

We'll be LIVE across all of our channels 🤗 

Look forward to learning with you!🚀
#100DaysOfCode #100DaysOfCloud 

🎙️ @TheNJDevOpsGuy 
⏰5PM UTC 
📅MON 19th October
🎫 https://t.co/mWqouJdcn1",['Kubernetes']
15,coder_487,A bot helping coders and designers by showcasing their creation and progress.,,0,297,38941,6,"Frosted Glass Effect

video: https://t.co/95vOfgSLSX

#bootstrap #html #css #javascript #FrontEnd #design #website #webdev #rwd #responsive #UI #tutorials #web #animation #jQuery #plugin #CodeGoals #codingisfun #100DaysOfCode #javascript #webdev https://t.co/LeWutEU0ps","['bootstrap', 'html', 'css', 'javascript', 'FrontEnd', 'design', 'website', 'webdev']"
16,coder_487,A bot helping coders and designers by showcasing their creation and progress.,,0,297,38941,6,"Frosted Glass Effect

video: https://t.co/95vOfgSLSX

#bootstrap #html #css #javascript #FrontEnd #design #website #webdev #rwd #responsive #UI #tutorials #web #animation #jQuery #plugin #CodeGoals #codingisfun #100DaysOfCode #javascript #webdev https://t.co/LeWutEU0ps","['bootstrap', 'html', 'css', 'javascript', 'FrontEnd', 'design', 'website', 'webdev']"
17,coder_487,A bot helping coders and designers by showcasing their creation and progress.,,0,297,38941,14,"Day 4️⃣ 6️⃣ of #100DaysOfCode 
I reviewed some of #Javascript concepts and continue where I left off","['100DaysOfCode', 'Javascript']"
18,coder_487,A bot helping coders and designers by showcasing their creation and progress.,,0,297,38941,5,"@VivianFrancos @KirkDBorne @DanielAKeane10 @Fabriciosx @gp_pulipaka @the404code @reachcsrini @ume_kyd @kellylewis5587 @fajar17 #DATAMiNiNG via NOdeXL @nodexl 

Ty
@VivianFrancos 
&amp; Everyone

#bigdata 
#AI #IoT #Tech #Data #USA #Linux #UK #javaScript #FinTech #dataScience #dataScientist #WomenWhoCode #Rstats #FemTech #100daysOfCode #FRENCHtech #France #digitalTransformation🍁",[]
19,coder_487,A bot helping coders and designers by showcasing their creation and progress.,,0,297,38941,7,wait groups and go routines with Golang 🤯  #100DaysOfCode #golang https://t.co/tH0q4uzxsa,"['100DaysOfCode', 'golang']"
20,coder_487,A bot helping coders and designers by showcasing their creation and progress.,,0,297,38941,7,wait groups and go routines with Golang 🤯  #100DaysOfCode #golang https://t.co/tH0q4uzxsa,"['100DaysOfCode', 'golang']"
21,coder_487,A bot helping coders and designers by showcasing their creation and progress.,,0,297,38941,6,"Day 62 of #100DaysOfCode Another small feature 🧮 is taking shape 🧱 for my little podcast website.
✅ Added a search input with autocomplete and basic css animations.
🔲 Make back-end's answer dynamic👷

#100daysofcodechallenge #javascript #buildinpublic https://t.co/Ocrt8KADNB",['100DaysOfCode']
22,coder_487,A bot helping coders and designers by showcasing their creation and progress.,,0,297,38941,15,"📣 Hey #JavaScript Devs! Can you solve this?

💬 Post your answer: https://t.co/duM41iQyMa

#100DaysOfCode #CodeNewbie #DEVCommunity #Techdegree https://t.co/LyhBjuysPe","['JavaScript', '100DaysOfCode', 'CodeNewbie']"
23,coder_487,A bot helping coders and designers by showcasing their creation and progress.,,0,297,38941,12,"https://t.co/cq65sAFDHC

#PPOM #Fancy #Cropper allows customers to #upload images and crop before sending to the #cart #Admin can set #options
#javascript #100DaysOfCode #webdevelopment #CodeNewbie #codinglife #Coding #programming #programmer  #flutter #FullStack #DEVCommunity https://t.co/DhK8xS8s2M","['PPOM', 'Fancy', 'Cropper', 'upload', 'cart', 'Admin']"
24,the404code,I'm a bot. Follow me to get updates on the latest tech blogs and tech trends #the404code | Creator: @nitinmanocha16,,3,484,24425,9,"From #devops to #mlops

#DataScientist #ArtificialIntelligence #5G #analytics #MachineLearning #BigData #IoT #RStats #JavaScript #CloudComputing #Serverless #technology #engineering #Programming #Coding #robotics #100DaysofCode #selfdrivingcars #cybersecurity #CodeNewbies #Linux https://t.co/GLq4Uw9zJi","['devops', 'mlops', 'DataScientist', 'ArtificialIntelligence', '5G', 'analytics', 'MachineLearning', 'BigData', 'IoT', 'RStats']"
25,_codenewbiebot,Beep boop. I am a bot created by https://t.co/i0ytpsE5Sj to support code newbies.,,9,851,88377,10,"Day 16 of #100DaysOfSwiftUI ✅
The first of the first project in the course! Finally I can attach my Xcode screenshot instead of a random image from internet 🤠 Theory only today, real development and implementation starts tomorrow 🥳

@SwiftLang
#100DaysOfCode #Swift #SwiftUI https://t.co/PUCQMhO86D",['100DaysOfSwiftUI']
26,Vi77P,Dad | Husband | Full Stack Developer | Xbox Gamer | Geek | Gadget addict | #fullstack #dotnetcore #aspnetcore  #programming #XboxOneX,"North Holland, The Netherlands",815,138,386,10,"Day 16 of #100DaysOfSwiftUI ✅
The first of the first project in the course! Finally I can attach my Xcode screenshot instead of a random image from internet 🤠 Theory only today, real development and implementation starts tomorrow 🥳

@SwiftLang
#100DaysOfCode #Swift #SwiftUI https://t.co/PUCQMhO86D",['100DaysOfSwiftUI']
27,femtech_,"I'm a friendly bot retweeting female developers, engineers, scientists and their stories. #girlswhocode #womenintech  #womeninstem
Made by @frankanka","Berlin, Deutschland",2,16099,852484,41,"artificial intelligence,data science,machine and deep learning in python
--
Link :https://t.co/YiqJ7d80yM
--
#Python #Machinelearning #100DaysOfCode #IoT #100DaysOfMLCode #flutter #javascript #Serverless #womenwhocode #cybersecurity #RStats #CodeNewbie #DataScience #DEVCommunity https://t.co/iD4C6hwFfm",['Python']
28,nlognbot,"Hi, I'm a bot that retweets #100daysofcode     
                 
P.S. I was created by @NlognHQ follow them.",Server,3,4442,365473,41,"artificial intelligence,data science,machine and deep learning in python
--
Link :https://t.co/YiqJ7d80yM
--
#Python #Machinelearning #100DaysOfCode #IoT #100DaysOfMLCode #flutter #javascript #Serverless #womenwhocode #cybersecurity #RStats #CodeNewbie #DataScience #DEVCommunity https://t.co/iD4C6hwFfm",['Python']
29,Women_who_code,24 🧬 ~ Javascript ❤️ ~ Mern Stack Developer ~ Next JS 🦄 ~ @nytimes ~ Books 📚 + coffee ☕,bootcamp,25,809,104682,41,"artificial intelligence,data science,machine and deep learning in python
--
Link :https://t.co/YiqJ7d80yM
--
#Python #Machinelearning #100DaysOfCode #IoT #100DaysOfMLCode #flutter #javascript #Serverless #womenwhocode #cybersecurity #RStats #CodeNewbie #DataScience #DEVCommunity https://t.co/iD4C6hwFfm",['Python']
30,techbot_01,Just a bot created to help developers written in #Python by @akm_nitrkl,,7,17,1183,9,"From #devops to #mlops

#DataScientist #ArtificialIntelligence #5G #analytics #MachineLearning #BigData #IoT #RStats #JavaScript #CloudComputing #Serverless #technology #engineering #Programming #Coding #robotics #100DaysofCode #selfdrivingcars #cybersecurity #CodeNewbies #Linux https://t.co/GLq4Uw9zJi","['devops', 'mlops', 'DataScientist', 'ArtificialIntelligence', '5G', 'analytics', 'MachineLearning', 'BigData', 'IoT', 'RStats']"
31,Cloud_CIO_,"CloudCIO a vendor agnostic, independent, Digital Transformation & IT Security consultancy.  Transforming Businesses Securely.","London, England",500,613,22078,41,"artificial intelligence,data science,machine and deep learning in python
--
Link :https://t.co/YiqJ7d80yM
--
#Python #Machinelearning #100DaysOfCode #IoT #100DaysOfMLCode #flutter #javascript #Serverless #womenwhocode #cybersecurity #RStats #CodeNewbie #DataScience #DEVCommunity https://t.co/iD4C6hwFfm",['Python']
32,techbot_01,Just a bot created to help developers written in #Python by @akm_nitrkl,,7,17,1183,10,"Day 16 of #100DaysOfSwiftUI ✅
The first of the first project in the course! Finally I can attach my Xcode screenshot instead of a random image from internet 🤠 Theory only today, real development and implementation starts tomorrow 🥳

@SwiftLang
#100DaysOfCode #Swift #SwiftUI https://t.co/PUCQMhO86D",['100DaysOfSwiftUI']
33,techbot_01,Just a bot created to help developers written in #Python by @akm_nitrkl,,7,17,1183,25,"There are currently two ways to load &amp; #update #firmware on #Hexabitz modules🌟🧩
Check out this article🔎https://t.co/RrZTSV11mx
#PCB #coding #makers #Linux #wearables #IoT #3D #AI #edtech #hardware #3Dprinting #100DaysOfCode #embedded #STMicroelectronics @ST_World @Hacksterio https://t.co/BP5UBzS8Wc","['update', 'firmware', 'Hexabitz']"
34,nlognbot,"Hi, I'm a bot that retweets #100daysofcode     
                 
P.S. I was created by @NlognHQ follow them.",Server,3,4442,365473,2,"My latest blog on 5 modern practices that you should know.
#100DaysOfCode #javascript #DevCommunity https://t.co/FnkfhDaL0x","['100DaysOfCode', 'javascript', 'DevCommunity']"
35,Women_who_code,24 🧬 ~ Javascript ❤️ ~ Mern Stack Developer ~ Next JS 🦄 ~ @nytimes ~ Books 📚 + coffee ☕,bootcamp,25,809,104682,2,"My latest blog on 5 modern practices that you should know.
#100DaysOfCode #javascript #DevCommunity https://t.co/FnkfhDaL0x","['100DaysOfCode', 'javascript', 'DevCommunity']"
36,AnuragKanoria11,"Amateur Full Stack Web dev 🚀
Introvert 💭 Blogger ✍️
Homo sapien,living on Earth🙋
Merch link: https://t.co/qdVg0EdgCU ||
MERN,MEVN,Flutter developer 📱👨‍💻",India,238,123,1368,2,"My latest blog on 5 modern practices that you should know.
#100DaysOfCode #javascript #DevCommunity https://t.co/FnkfhDaL0x","['100DaysOfCode', 'javascript', 'DevCommunity']"
37,CoderNotesBot,"RT bot for #60DaysOfUdacity #30Days30Sites #100DaysOfCode #301DaysOfCode
Written in #nodejs using #twit. By @shahidcodes",codeanywhere.com,63,7407,683185,2,"#100DaysOfCode
Day 35
Continuing with the game of Pong, today I programmed the players to move by pressing the keys on the keyboard; just like the ball moves from place https://t.co/iBqSm9rGDu",['100DaysOfCode']
38,techbot_01,Just a bot created to help developers written in #Python by @akm_nitrkl,,7,17,1183,1,"I can say that by developing @chooseyourplant🌱 I've learned👇:
- How to do market research, SEO plan, and keyword research based on behavior
- More #UX
- How to analyze metrics with @googleanalytics
- Create a backend from scratch
- and more!

#100DaysOfCode #reactjs #javascript https://t.co/3kUvutSR4O",[]
39,arinze_xavier,"MAN U🔴 



Cool Calm Gravy •
Software Developer •
In love with Python🐍•




Believe •","London, England",1096,643,11100,7,wait groups and go routines with Golang 🤯  #100DaysOfCode #golang https://t.co/tH0q4uzxsa,"['100DaysOfCode', 'golang']"
40,_codenewbiebot,Beep boop. I am a bot created by https://t.co/i0ytpsE5Sj to support code newbies.,,9,851,88378,12,"Day 8/100

Finished with Making our Website Responsive section from CSS The Complete Guide course from @academind_real.

#100DaysOfCode #100DaysOfX #CodeNewbie #freeCodeCamp #javascript #learning #webdeveloper #CodeHabit365 #HTML #CSS",[]
41,TCrossmd,#Designer #Programmer #ITIL #cheats #Leadership #Mgmt #SharePoint #selfImprovement #quotes #bigData #Design #Programming #hacker #cyberSecurity #personalTweets,Greater Detroit Area,231,862,15168,6,"Frosted Glass Effect

video: https://t.co/95vOfgSLSX

#bootstrap #html #css #javascript #FrontEnd #design #website #webdev #rwd #responsive #UI #tutorials #web #animation #jQuery #plugin #CodeGoals #codingisfun #100DaysOfCode #javascript #webdev https://t.co/LeWutEU0ps","['bootstrap', 'html', 'css', 'javascript', 'FrontEnd', 'design', 'website', 'webdev']"
42,techbot_01,Just a bot created to help developers written in #Python by @akm_nitrkl,,7,17,1183,12,"https://t.co/cq65sAFDHC

#PPOM #Fancy #Cropper allows customers to #upload images and crop before sending to the #cart #Admin can set #options
#javascript #100DaysOfCode #webdevelopment #CodeNewbie #codinglife #Coding #programming #programmer  #flutter #FullStack #DEVCommunity https://t.co/DhK8xS8s2M","['PPOM', 'Fancy', 'Cropper', 'upload', 'cart', 'Admin']"
43,coder_487,A bot helping coders and designers by showcasing their creation and progress.,,0,297,38941,10,"Day 16 of #100DaysOfSwiftUI ✅
The first of the first project in the course! Finally I can attach my Xcode screenshot instead of a random image from internet 🤠 Theory only today, real development and implementation starts tomorrow 🥳

@SwiftLang
#100DaysOfCode #Swift #SwiftUI https://t.co/PUCQMhO86D",['100DaysOfSwiftUI']
44,coder_487,A bot helping coders and designers by showcasing their creation and progress.,,0,297,38941,10,"Day 16 of #100DaysOfSwiftUI ✅
The first of the first project in the course! Finally I can attach my Xcode screenshot instead of a random image from internet 🤠 Theory only today, real development and implementation starts tomorrow 🥳

@SwiftLang
#100DaysOfCode #Swift #SwiftUI https://t.co/PUCQMhO86D",['100DaysOfSwiftUI']
45,TCrossmd,#Designer #Programmer #ITIL #cheats #Leadership #Mgmt #SharePoint #selfImprovement #quotes #bigData #Design #Programming #hacker #cyberSecurity #personalTweets,Greater Detroit Area,231,862,15168,6,"Day 62 of #100DaysOfCode Another small feature 🧮 is taking shape 🧱 for my little podcast website.
✅ Added a search input with autocomplete and basic css animations.
🔲 Make back-end's answer dynamic👷

#100daysofcodechallenge #javascript #buildinpublic https://t.co/Ocrt8KADNB",['100DaysOfCode']
46,techbot_01,Just a bot created to help developers written in #Python by @akm_nitrkl,,7,17,1183,15,"📣 Hey #JavaScript Devs! Can you solve this?

💬 Post your answer: https://t.co/duM41iQyMa

#100DaysOfCode #CodeNewbie #DEVCommunity #Techdegree https://t.co/LyhBjuysPe","['JavaScript', '100DaysOfCode', 'CodeNewbie']"
47,nlognbot,"Hi, I'm a bot that retweets #100daysofcode     
                 
P.S. I was created by @NlognHQ follow them.",Server,3,4442,365473,7,wait groups and go routines with Golang 🤯  #100DaysOfCode #golang https://t.co/tH0q4uzxsa,"['100DaysOfCode', 'golang']"
48,Women_who_code,24 🧬 ~ Javascript ❤️ ~ Mern Stack Developer ~ Next JS 🦄 ~ @nytimes ~ Books 📚 + coffee ☕,bootcamp,25,809,104682,7,wait groups and go routines with Golang 🤯  #100DaysOfCode #golang https://t.co/tH0q4uzxsa,"['100DaysOfCode', 'golang']"
49,CoderNotesBot,"RT bot for #60DaysOfUdacity #30Days30Sites #100DaysOfCode #301DaysOfCode
Written in #nodejs using #twit. By @shahidcodes",codeanywhere.com,63,7407,683185,7,wait groups and go routines with Golang 🤯  #100DaysOfCode #golang https://t.co/tH0q4uzxsa,"['100DaysOfCode', 'golang']"
50,CoderNotesBot,"RT bot for #60DaysOfUdacity #30Days30Sites #100DaysOfCode #301DaysOfCode
Written in #nodejs using #twit. By @shahidcodes",codeanywhere.com,63,7407,683185,14,"Day 4️⃣ 6️⃣ of #100DaysOfCode 
I reviewed some of #Javascript concepts and continue where I left off","['100DaysOfCode', 'Javascript']"
