,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
51,techbot_01,Just a bot created to help developers written in #Python by @akm_nitrkl,,7,17,1183,5,"@VivianFrancos @KirkDBorne @DanielAKeane10 @Fabriciosx @gp_pulipaka @the404code @reachcsrini @ume_kyd @kellylewis5587 @fajar17 #DATAMiNiNG via NOdeXL @nodexl 

Ty
@VivianFrancos 
&amp; Everyone

#bigdata 
#AI #IoT #Tech #Data #USA #Linux #UK #javaScript #FinTech #dataScience #dataScientist #WomenWhoCode #Rstats #FemTech #100daysOfCode #FRENCHtech #France #digitalTransformation🍁",[]
52,nlognbot,"Hi, I'm a bot that retweets #100daysofcode     
                 
P.S. I was created by @NlognHQ follow them.",Server,3,4442,365473,6,"Frosted Glass Effect

video: https://t.co/95vOfgSLSX

#bootstrap #html #css #javascript #FrontEnd #design #website #webdev #rwd #responsive #UI #tutorials #web #animation #jQuery #plugin #CodeGoals #codingisfun #100DaysOfCode #javascript #webdev https://t.co/LeWutEU0ps","['bootstrap', 'html', 'css', 'javascript', 'FrontEnd', 'design', 'website', 'webdev']"
53,Women_who_code,24 🧬 ~ Javascript ❤️ ~ Mern Stack Developer ~ Next JS 🦄 ~ @nytimes ~ Books 📚 + coffee ☕,bootcamp,25,809,104682,6,"Frosted Glass Effect

video: https://t.co/95vOfgSLSX

#bootstrap #html #css #javascript #FrontEnd #design #website #webdev #rwd #responsive #UI #tutorials #web #animation #jQuery #plugin #CodeGoals #codingisfun #100DaysOfCode #javascript #webdev https://t.co/LeWutEU0ps","['bootstrap', 'html', 'css', 'javascript', 'FrontEnd', 'design', 'website', 'webdev']"
54,Divinector,"Divinector  Provides tutorial based on html, html5, css, css3 animation, basic jquery, jquery plugins and their implementation,web design related tips and trick",,108,400,1797,6,"Frosted Glass Effect

video: https://t.co/95vOfgSLSX

#bootstrap #html #css #javascript #FrontEnd #design #website #webdev #rwd #responsive #UI #tutorials #web #animation #jQuery #plugin #CodeGoals #codingisfun #100DaysOfCode #javascript #webdev https://t.co/LeWutEU0ps","['bootstrap', 'html', 'css', 'javascript', 'FrontEnd', 'design', 'website', 'webdev', 'rwd', 'responsive', 'UI', 'tutorials', 'web', 'animation', 'jQuery', 'plugin', 'CodeGoals', 'codingisfun', '100DaysOfCode', 'javascript', 'webdev']"
55,techbot_01,Just a bot created to help developers written in #Python by @akm_nitrkl,,7,17,1183,12,"Day 8/100

Finished with Making our Website Responsive section from CSS The Complete Guide course from @academind_real.

#100DaysOfCode #100DaysOfX #CodeNewbie #freeCodeCamp #javascript #learning #webdeveloper #CodeHabit365 #HTML #CSS",[]
56,CoderNotesBot,"RT bot for #60DaysOfUdacity #30Days30Sites #100DaysOfCode #301DaysOfCode
Written in #nodejs using #twit. By @shahidcodes",codeanywhere.com,63,7407,683185,3,"In our next #Kubernetes session Michael will be taking us through monitoring!

We'll be LIVE across all of our channels 🤗 

Look forward to learning with you!🚀
#100DaysOfCode #100DaysOfCloud 

🎙️ @TheNJDevOpsGuy 
⏰5PM UTC 
📅MON 19th October
🎫 https://t.co/mWqouJdcn1",['Kubernetes']
57,_serverlessbot_,"I am a bot built with aws-lambda and the serverless platform, retweeting #serverless related stuff. 🤖",,3662,758,9055,21,"Do You Git ?
#reactjs #React #javascript #100DaysOfCode #CodeNewbie #CodeNewbies  #programming #DEVCommunity #Developer #Python3  #DeveloperStudentClubs #100DaysOfMLCode #Python #Nodejs #Serverless #womenwhocode #cybersecurity #java #git #github https://t.co/5voit1QMRN","['reactjs', 'React', 'javascript', '100DaysOfCode', 'CodeNewbie', 'CodeNewbies', 'programming', 'DEVCommunity']"
58,cephalopodluke2,,,4881,1594,90485,6,$ITOX #startup with $1+ potential at 1 cent https://t.co/nmWlu1Q0zK #iiot #MachineLearning #DataScience #BigData  #R #python #PyTorch #DataScientist #Spark #AI #ML #Kubernetes #IoT #100DaysOfCode #edtech #CyberSecurity #ArtificialIntelligence #blockchain https://t.co/rvBBfyjYLt,"['startup', 'iiot', 'MachineLearning', 'DataScience', 'BigData', 'R', 'python']"
59,glitchbotio,"Software Engineer | Hacker | Stock Option Swing Trader 
Instagram:  https://t.co/Mcm2rwd4Uw  https://t.co/JyMMqtsjLa
Instagram:  traders.creed  https://t.co/X3X1ZAPNAj",Intra - Dimensional,288,456,10652,0,"""In matters of style, swim with the current; in matters of principle, stand like a rock.""- Thomas Jefferson #softwareengineer #javascript #python #C++ #golang #nodejs #reactjs #stockopertor #highgrowthstocks $SPX $QQQ $RUT $VIX #canslim #100DaysOfCode","['softwareengineer', 'javascript', 'python', 'C', 'golang', 'nodejs', 'reactjs', 'stockopertor', 'highgrowthstocks', 'canslim', '100DaysOfCode']"
60,techbot_01,Just a bot created to help developers written in #Python by @akm_nitrkl,,7,17,1183,22,"A Beginner’s Guide To Docker

Docker is a platform to develop, deploy, and run applications inside containers. If you’re a current or aspiring software developer or data scientist, Docker is in your future.

Let's understand how docker works

🧵A Thread🧵

#100DaysOfCode",[]
61,CoderNotesBot,"RT bot for #60DaysOfUdacity #30Days30Sites #100DaysOfCode #301DaysOfCode
Written in #nodejs using #twit. By @shahidcodes",codeanywhere.com,63,7407,683185,4,"13/100 

*Learned about interoperability.
*Benefits of interoperability in     blockchain
* Known about the how Aion address this issue.
#wanchain #COSMOS 

@OAN_OpenApps 
@blockchainedind 
#OpenApps   #Dapps
#100DaysOfCode 
#IndiaLearnsblockchain",[]
62,RobotProud,This robot is very proud of you and your progress. Automaton built in Ruby by @ray_codes_stuff to celebrate & motivate folks doing #100daysofcode,,1,719,149965,6,"Day 62 of #100DaysOfCode Another small feature 🧮 is taking shape 🧱 for my little podcast website.
✅ Added a search input with autocomplete and basic css animations.
🔲 Make back-end's answer dynamic👷

#100daysofcodechallenge #javascript #buildinpublic https://t.co/Ocrt8KADNB",['100DaysOfCode']
63,imkarthikn6,• A KITE DANCING IN A HURRICANE •🌟•,,501,72,701,22,"A Beginner’s Guide To Docker

Docker is a platform to develop, deploy, and run applications inside containers. If you’re a current or aspiring software developer or data scientist, Docker is in your future.

Let's understand how docker works

🧵A Thread🧵

#100DaysOfCode",[]
64,cephalopodluke2,,,4881,1594,90485,21,"Do You Git ?
#reactjs #React #javascript #100DaysOfCode #CodeNewbie #CodeNewbies  #programming #DEVCommunity #Developer #Python3  #DeveloperStudentClubs #100DaysOfMLCode #Python #Nodejs #Serverless #womenwhocode #cybersecurity #java #git #github https://t.co/5voit1QMRN","['reactjs', 'React', 'javascript', '100DaysOfCode', 'CodeNewbie', 'CodeNewbies', 'programming', 'DEVCommunity']"
65,techbot_01,Just a bot created to help developers written in #Python by @akm_nitrkl,,7,17,1183,109,"If you look up recursion on Google this is what you get! Now that is some excellent programming humor!

#100DaysOfCode #CodeNewbie #programming https://t.co/9KPf29Id1H",['100DaysOfCode']
66,nlognbot,"Hi, I'm a bot that retweets #100daysofcode     
                 
P.S. I was created by @NlognHQ follow them.",Server,3,4442,365473,7,Day 27 of #100DaysOfCode. Yesterday I coded 3 hrs 34 mins towards my @WakaTime goal of coding 4 hrs per day. https://t.co/O900HKG6Sx #codegoal https://t.co/AbDxrIq6x9 https://t.co/jaGlcf5unS,['100DaysOfCode']
67,Women_who_code,24 🧬 ~ Javascript ❤️ ~ Mern Stack Developer ~ Next JS 🦄 ~ @nytimes ~ Books 📚 + coffee ☕,bootcamp,25,809,104682,7,Day 27 of #100DaysOfCode. Yesterday I coded 3 hrs 34 mins towards my @WakaTime goal of coding 4 hrs per day. https://t.co/O900HKG6Sx #codegoal https://t.co/AbDxrIq6x9 https://t.co/jaGlcf5unS,['100DaysOfCode']
68,techbot_01,Just a bot created to help developers written in #Python by @akm_nitrkl,,7,17,1183,21,"Do You Git ?
#reactjs #React #javascript #100DaysOfCode #CodeNewbie #CodeNewbies  #programming #DEVCommunity #Developer #Python3  #DeveloperStudentClubs #100DaysOfMLCode #Python #Nodejs #Serverless #womenwhocode #cybersecurity #java #git #github https://t.co/5voit1QMRN","['reactjs', 'React', 'javascript', '100DaysOfCode', 'CodeNewbie', 'CodeNewbies', 'programming', 'DEVCommunity']"
69,CoderNotesBot,"RT bot for #60DaysOfUdacity #30Days30Sites #100DaysOfCode #301DaysOfCode
Written in #nodejs using #twit. By @shahidcodes",codeanywhere.com,63,7407,683185,7,Day 27 of #100DaysOfCode. Yesterday I coded 3 hrs 34 mins towards my @WakaTime goal of coding 4 hrs per day. https://t.co/O900HKG6Sx #codegoal https://t.co/AbDxrIq6x9 https://t.co/jaGlcf5unS,['100DaysOfCode']
70,CoderNotesBot,"RT bot for #60DaysOfUdacity #30Days30Sites #100DaysOfCode #301DaysOfCode
Written in #nodejs using #twit. By @shahidcodes",codeanywhere.com,63,7407,683185,7,"Hey guys, check out the answer of #javascript #challenge #136

Please Like 👍, Comment ✍️ &amp; Share 🤝. is really 🙏appreciated 😎.

Check Answer With Explanation - https://t.co/3gTZ5ga6uk

#jsstartup #js #javascript #quiz #tips #tricks #100DaysOfCode #365DaysOfCode","['javascript', 'challenge']"
71,the404code,I'm a bot. Follow me to get updates on the latest tech blogs and tech trends #the404code | Creator: @nitinmanocha16,,3,484,24427,6,$ITOX #startup with $1+ potential at 1 cent https://t.co/nmWlu1Q0zK #iiot #MachineLearning #DataScience #BigData  #R #python #PyTorch #DataScientist #Spark #AI #ML #Kubernetes #IoT #100DaysOfCode #edtech #CyberSecurity #ArtificialIntelligence #blockchain https://t.co/rvBBfyjYLt,"['startup', 'iiot', 'MachineLearning', 'DataScience', 'BigData', 'R', 'python']"
72,the404code,I'm a bot. Follow me to get updates on the latest tech blogs and tech trends #the404code | Creator: @nitinmanocha16,,3,484,24427,10,"#Ruto #ConstitutionalMoment #TinaAndDunco 

@Robindamisi
Between Ruto 🔃♥️, Raila &amp; HE Uhuru♥️, who spoke best during the #BBIReport ? 

#Politics 
#100DaysOfCode #javascript #programming #code #CodeNewbies #Linux #COVID19 #BBIReportLaunch #AI #MachineLearning #webdevelopment https://t.co/vrJJrLGcYX","['Ruto', 'ConstitutionalMoment', 'TinaAndDunco']"
73,the404code,I'm a bot. Follow me to get updates on the latest tech blogs and tech trends #the404code | Creator: @nitinmanocha16,,3,484,24427,25,"Adoption of MQTT protocol for Best practices ▶️
#Analytics #IoT #IIoT #IoTPL #AI #InternetofThings #Java #RStats
#reactjs #MachineLearning #5G #BigData #DataScience #cloud
#EdgeComputing #Linux #RPA
#Serverless #DigitalTransformation
#Coding #100DaysOfCode
https://t.co/qLQTFOXg6W https://t.co/fnUysO2LeY","['Analytics', 'IoT', 'IIoT', 'IoTPL', 'AI', 'InternetofThings', 'Java', 'RStats']"
74,_codenewbiebot,Beep boop. I am a bot created by https://t.co/i0ytpsE5Sj to support code newbies.,,9,851,88378,7,"That feeling when you realize there are 24 hours in a day...

...but you've just added 25 hours of tasks to your todo list

#freeCodeCamp #100DaysOfCode #DEVCommunity #WomenInTech #developers #programming #webdevelopers #SoftwareEngineering",[]
75,techbot_01,Just a bot created to help developers written in #Python by @akm_nitrkl,,7,17,1183,27,"The Transformed Future by the #5G and #AI on the #Edge!

https://t.co/PkfcgtELUb

By @CBinsights via @intellimetri @100DaysOfMLCode @HiAndy_ai

#MachineLearning #DeepLearning #DataScience #Fintech #DX #4IR #Martech #100DaysOfCode #DigitalTransformation #WomenWhoCode #HealthTech https://t.co/mABzwkVNFE","['5G', 'AI', 'Edge']"
76,100xcode,"I *only* retweet your #100DaysOfCode progress tweets. 💯

MIT open source icons for your next app: https://t.co/quTEhK1vY8.

Follow me and @username_ZAYDEK for web dev! ✨",⚡️,10511,18190,495137,6,"Day 62 of #100DaysOfCode Another small feature 🧮 is taking shape 🧱 for my little podcast website.
✅ Added a search input with autocomplete and basic css animations.
🔲 Make back-end's answer dynamic👷

#100daysofcodechallenge #javascript #buildinpublic https://t.co/Ocrt8KADNB",['100DaysOfCode']
77,Women_who_code,24 🧬 ~ Javascript ❤️ ~ Mern Stack Developer ~ Next JS 🦄 ~ @nytimes ~ Books 📚 + coffee ☕,bootcamp,25,809,104683,6,"Day 62 of #100DaysOfCode Another small feature 🧮 is taking shape 🧱 for my little podcast website.
✅ Added a search input with autocomplete and basic css animations.
🔲 Make back-end's answer dynamic👷

#100daysofcodechallenge #javascript #buildinpublic https://t.co/Ocrt8KADNB",['100DaysOfCode']
78,nlognbot,"Hi, I'm a bot that retweets #100daysofcode     
                 
P.S. I was created by @NlognHQ follow them.",Server,3,4442,365474,6,"Day 62 of #100DaysOfCode Another small feature 🧮 is taking shape 🧱 for my little podcast website.
✅ Added a search input with autocomplete and basic css animations.
🔲 Make back-end's answer dynamic👷

#100daysofcodechallenge #javascript #buildinpublic https://t.co/Ocrt8KADNB",['100DaysOfCode']
79,mejutoco,"Software engineering, product, data. Prev @kayak","Berlin, Deutschland",701,143,235,6,"Day 62 of #100DaysOfCode Another small feature 🧮 is taking shape 🧱 for my little podcast website.
✅ Added a search input with autocomplete and basic css animations.
🔲 Make back-end's answer dynamic👷

#100daysofcodechallenge #javascript #buildinpublic https://t.co/Ocrt8KADNB","['100DaysOfCode', '100daysofcodechallenge', 'javascript', 'buildinpublic']"
80,techbot_01,Just a bot created to help developers written in #Python by @akm_nitrkl,,7,17,1183,15,"D12 #100DaysOfCode
Happy Monday! ⛅️💫

Created a basic #PHP dynamic list of blog posts without looking at tuts.  May not be big deal but for me, it's a tiny step forward to be better at #coding plus I ♥️ experimenting, it's so much fun 😊  

#CodeNewbie #DEVCommunity #HTML #CSS https://t.co/FFWf2yMMqv","['100DaysOfCode', 'PHP']"
81,notjustadev,"SWE | @gsoc mentor and intern | @ThePSF | @eosdesignsystem |
Me = Web 🐛 + UI/UX 🦔 + Blockchain 🦊 | 
Making tech easier for people, one article at a time. |",Mars 🎴,188,141,691,0,"The only thing standing between you and your goals is the bullshit story you keep telling yourself as to why you can't achieve it.

#100DaysOfCode",['100DaysOfCode']
82,Women_who_code,24 🧬 ~ Javascript ❤️ ~ Mern Stack Developer ~ Next JS 🦄 ~ @nytimes ~ Books 📚 + coffee ☕,bootcamp,25,809,104683,11,"Day 10/100 of #100DaysOfCode 

Simple CSS Animations...

-&gt; Shapes &amp; Graphic using CSS
-&gt; Animation &amp; Keyframes properties
-&gt; Learning Bezier Curves Work

#100DaysOfCode #CodeNewbie 
#DEVCommunity #typography",['100DaysOfCode']
83,nlognbot,"Hi, I'm a bot that retweets #100daysofcode     
                 
P.S. I was created by @NlognHQ follow them.",Server,3,4442,365474,11,"Day 10/100 of #100DaysOfCode 

Simple CSS Animations...

-&gt; Shapes &amp; Graphic using CSS
-&gt; Animation &amp; Keyframes properties
-&gt; Learning Bezier Curves Work

#100DaysOfCode #CodeNewbie 
#DEVCommunity #typography",['100DaysOfCode']
84,Bitsoko,"open-source mobile services for micro, small and medium enterprises
Find us here https://t.co/mijeDrVauO",Africa,923,995,4463,178,"Top 20 Best Data Science Books You Should Read. #BigData #Analytics #DataScience #IoT #IIoT #PyTorch #Python #RStats #TensorFlow #Java #JavaScript #ReactJS #GoLang #CloudComputing #Serverless #DataScientist #Linux #Books #Programming #Coding #100DaysofCode
https://t.co/WUQVX6orIf https://t.co/aShemDO6Oy","['BigData', 'Analytics', 'DataScience', 'IoT', 'IIoT', 'PyTorch', 'Python', 'RStats']"
85,techbot_01,Just a bot created to help developers written in #Python by @akm_nitrkl,,7,17,1183,11,"Day 10/100 of #100DaysOfCode 

Simple CSS Animations...

-&gt; Shapes &amp; Graphic using CSS
-&gt; Animation &amp; Keyframes properties
-&gt; Learning Bezier Curves Work

#100DaysOfCode #CodeNewbie 
#DEVCommunity #typography",['100DaysOfCode']
86,CoderNotesBot,"RT bot for #60DaysOfUdacity #30Days30Sites #100DaysOfCode #301DaysOfCode
Written in #nodejs using #twit. By @shahidcodes",codeanywhere.com,63,7407,683185,17,D30 #100DaysOfCode set interval with an if conditional helped achieved the intended counter increment with delay. #javascript #es6 #es7 #webdevelopment #webdeveloper #html5 #css3 #code,"['100DaysOfCode', 'javascript']"
87,TheCuriousLuke,Luke identifies himself as a: #MachineLearning #Enthusiast 🤖 ¦ #Biotechnology #Student 🤓 ¦ former #Chemical #Labtechnician 👨‍🔬 ¦  #Human,Switzerland,260,5497,247879,25,"Adoption of MQTT protocol for Best practices ▶️
#Analytics #IoT #IIoT #IoTPL #AI #InternetofThings #Java #RStats
#reactjs #MachineLearning #5G #BigData #DataScience #cloud
#EdgeComputing #Linux #RPA
#Serverless #DigitalTransformation
#Coding #100DaysOfCode
https://t.co/qLQTFOXg6W https://t.co/fnUysO2LeY","['Analytics', 'IoT', 'IIoT', 'IoTPL', 'AI', 'InternetofThings', 'Java', 'RStats']"
88,techbot_01,Just a bot created to help developers written in #Python by @akm_nitrkl,,7,17,1183,25,"Adoption of MQTT protocol for Best practices ▶️
#Analytics #IoT #IIoT #IoTPL #AI #InternetofThings #Java #RStats
#reactjs #MachineLearning #5G #BigData #DataScience #cloud
#EdgeComputing #Linux #RPA
#Serverless #DigitalTransformation
#Coding #100DaysOfCode
https://t.co/qLQTFOXg6W https://t.co/fnUysO2LeY","['Analytics', 'IoT', 'IIoT', 'IoTPL', 'AI', 'InternetofThings', 'Java', 'RStats']"
89,AmyOh89,"I love programming and technology.  Currently on a project using #Angular, @IonicFramework, Cordova, MongoDB, and Node.js.  I also love my dog, Henry.","Austin, TX",7287,9578,12726,122,"Exploring Descriptive #Statistics Using #Pandas and #Seaborn. #BigData #Analytics #DataScience #AI #MachineLearning #IoT #IIoT #Python #RStats #JavaScript #ReactJS #CloudComputing #Serverless #DataScientist #Linux #Programming #Coding #100DaysofCode 
https://t.co/FYQQqKkUfG https://t.co/H9eFIBWMs9","['Statistics', 'Pandas', 'Seaborn', 'BigData', 'Analytics', 'DataScience', 'AI', 'MachineLearning', 'IoT']"
90,_codenewbiebot,Beep boop. I am a bot created by https://t.co/i0ytpsE5Sj to support code newbies.,,9,851,88378,6,"Day98: 
Time:3 hours
Contents: learned basics of Javascript through Udemy course.
Look-back: I am getting better understanding on  each parts of javascript  but still hard to understand how everything work together. 
#100DaysOfCode #CodeNewbies #CodeNewbie",[]
91,Women_who_code,24 🧬 ~ Javascript ❤️ ~ Mern Stack Developer ~ Next JS 🦄 ~ @nytimes ~ Books 📚 + coffee ☕,bootcamp,25,809,104683,6,"Day98: 
Time:3 hours
Contents: learned basics of Javascript through Udemy course.
Look-back: I am getting better understanding on  each parts of javascript  but still hard to understand how everything work together. 
#100DaysOfCode #CodeNewbies #CodeNewbie",[]
92,nlognbot,"Hi, I'm a bot that retweets #100daysofcode     
                 
P.S. I was created by @NlognHQ follow them.",Server,3,4442,365474,6,"Day98: 
Time:3 hours
Contents: learned basics of Javascript through Udemy course.
Look-back: I am getting better understanding on  each parts of javascript  but still hard to understand how everything work together. 
#100DaysOfCode #CodeNewbies #CodeNewbie",[]
93,techbot_01,Just a bot created to help developers written in #Python by @akm_nitrkl,,7,17,1184,11,"good morning

There is no age limit, no special skill, no specific requirement to start learning to code. 

Just start somewhere.

#BlackTechTwitter 
#CodeNewbie 
#100DaysOfCode 
#learntocode",[]
94,RobotProud,This robot is very proud of you and your progress. Automaton built in Ruby by @ray_codes_stuff to celebrate & motivate folks doing #100daysofcode,,1,719,149965,6,"Day98: 
Time:3 hours
Contents: learned basics of Javascript through Udemy course.
Look-back: I am getting better understanding on  each parts of javascript  but still hard to understand how everything work together. 
#100DaysOfCode #CodeNewbies #CodeNewbie",[]
95,techbot_01,Just a bot created to help developers written in #Python by @akm_nitrkl,,7,17,1184,7,"That feeling when you realize there are 24 hours in a day...

...but you've just added 25 hours of tasks to your todo list

#freeCodeCamp #100DaysOfCode #DEVCommunity #WomenInTech #developers #programming #webdevelopers #SoftwareEngineering",[]
96,Women_who_code,24 🧬 ~ Javascript ❤️ ~ Mern Stack Developer ~ Next JS 🦄 ~ @nytimes ~ Books 📚 + coffee ☕,bootcamp,25,809,104683,4,I think I'm going to try #100DaysOfCode again... But I want part of it to be focused on Devops and infrastructure management. Perhaps there is a better hashtag or challenge for this?,['100DaysOfCode']
97,nlognbot,"Hi, I'm a bot that retweets #100daysofcode     
                 
P.S. I was created by @NlognHQ follow them.",Server,3,4442,365474,4,I think I'm going to try #100DaysOfCode again... But I want part of it to be focused on Devops and infrastructure management. Perhaps there is a better hashtag or challenge for this?,['100DaysOfCode']
98,techbot_01,Just a bot created to help developers written in #Python by @akm_nitrkl,,7,17,1184,4,I think I'm going to try #100DaysOfCode again... But I want part of it to be focused on Devops and infrastructure management. Perhaps there is a better hashtag or challenge for this?,['100DaysOfCode']
99,RobotProud,This robot is very proud of you and your progress. Automaton built in Ruby by @ray_codes_stuff to celebrate & motivate folks doing #100daysofcode,,1,719,149965,2,"Days 4️⃣3️⃣-4️⃣5️⃣ of #100DaysOfCode :
- Learned some #TypeScript basics.
- I never managed to learn how to test my code and by the end of the #reactjs course I realized how important it is testing your code so I started a #jest course, hopefully I'll finish it by the end of the day https://t.co/cgaaKV15r2","['100DaysOfCode', 'TypeScript']"
